Kode,Tekst,Kapitel,Kap_n,Kap_desc
DA050,Fødevareforgiftning forårsaget af stafylokokker,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA051,Botulisme,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA052,Fødevareforgiftning forårsaget af Clostridium perfringens,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA053,Fødevareforgiftning forårsaget af Vibrio parahaemolyticus,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA054,Fødevareforgiftning forårsaget af Bacillus cereus,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA058,Anden bakteriel fødevareforgiftning,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA059,Bakteriel fødevareforgiftning UNS,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA06,Amøbedysenteri,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA060,Akut amøbedysenteri,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA061,Kronisk intestinal amøbeinfektion,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA062,Colitis forårsaget af amøbeinfektion,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA063,Amøbom i tarm,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA063A,Amøbom UNS,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA064,Leverabsces forårsaget af amøbeinfektion,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA065,Lungeabsces forårsaget af amøbeinfektion,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA066,Hjerneabsces forårsaget af amøbeinfektion,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA067,Amøbeinfektion i huden,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA068,Amøbeinfektion med anden lokalisation,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA068A,Appendicitis forårsaget af amøbeinfektion,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA069,Amøbeinfektion UNS,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA07,Andre tarmsygdomme fremkaldt af protozoer,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA070,Balantidiasis,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA071,Giardiasis,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA072,Cryptosporidiosis,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA073,Isosporiasis,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA078,Anden tarminfektion forårsaget af protozoer,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA078A,Sarcocystose,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA078C,Trichomoniasis intestinalis,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA078D,Coccidiosis intestinalis,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA079,Tarmsygdom forårsaget af protozoer UNS,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA08,Tarminfektioner forårsaget af virus og andre organismer,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA080,Enteritis forårsaget af rotavirus,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA081,Akut gastroenteritis forårsaget af Norwalk-virus,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA082,Enteritis forårsaget af adenovirus,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA083,Enteritis forårsaget af anden virus,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA083A,Gastroenteritis forårsaget af parvovirus,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA084,Tarminfektion forårsaget af virus UNS,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA085,Tarminfektion forårsaget af anden (mikro)organisme UNS,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA09,Anden gastroenteritis og colitis af infektiøs eller ikke specificeret årsag,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA090,Anden og uspecifik gastroenteritis og colitis af infektiøs oprindelse,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA099,Gastroenteritis eller colitis af ikke specificeret årsag,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA15,Tuberkulose i åndedrætsorganer verificeret bakteriologisk og histologisk,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA150,Lungetuberkulose verificeret ved mikroskopi af ekspektorat med eller uden dyrkning,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA151,Lungetuberkulose verificeret alene ved dyrkning,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA152,Lungetuberkulose verificeret histologisk,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA153,Lungetuberkulose verificeret ved ikke angivet metode,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA154,Tuberkulose i intratorakale lymfeknuder verificeret bakteriologisk eller histologisk,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA155,"Tuberkulose i struben, luftrøret eller bronkier verificeret bakteriologisk eller histologisk",Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA156,Tuberkuløs lungehindebetændelse verificeret bakteriologisk eller histologisk,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA157,Primær tuberkulose i åndedrætsorganerne verificeret bakteriologisk eller histologisk,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA158,Anden tuberkulose i åndedrætsorganerne verificeret bakteriologisk og histologisk,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA158A,Tuberkulose i mediastinum verificeret bakteriologisk og histologisk,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA158B,Tuberkulose i næsen verificeret bakteriologisk og histologisk,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA158C,Tuberkulose i næsesvælget verificeret bakteriologisk og histologisk,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA159,"Tuberkulose i åndedrætsorganerne UNS, verificeret bakteriologisk eller histologisk",Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA16,Tuberkulose i åndedrætsorganer ikke bakteriologisk eller histologisk verificeret,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA160,"Lungetuberkulose, bakteriologisk og histologisk negativt fund",Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA161,"Lungetuberkulose, bakteriologisk og histologisk undersøgelse ikke er foretaget",Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA162,Lungetuberkulose uden angivelse af bakteriologisk eller histologisk verifikation,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA162A,Tuberkuløs lungefibrose UNS,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA162B,Tuberkuløs pneumoni UNS,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA162C,Tuberkuløs pneumothorax UNS,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA163,Tuberkulose i intratorakale lymfekirtler uden angivelse af bakteriologisk eller histologisk verifikation,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA164,"Tuberkulose i struben, luftrøret eller bronkier uden angivelse af bakteriologisk eller histologisk verifikation",Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA165,Tuberkuløs lungehindebetændelse uden angivelse af bakteriologisk eller histologisk verifikation,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA167,Primær tuberkulose i åndedrætsorganerne uden angivelse af bakteriologisk eller histologisk verifikation,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA168,Anden tuberkulose i åndedrætsorganerne uden angivelse af bakteriologisk eller histologisk verifikation,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA168A,Tuberkulose i mediastinum UNS,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA168B,Tuberkulose i næsen UNS,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA168C,Tuberkulose i næsesvælget UNS,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA169,"Tuberkulose i åndedrætsorganerne UNS, uden angivelse af bakteriologisk eller histologisk verifikation",Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA17,Tuberkulose i nervesystemet,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA170,Tuberkuløs meningitis,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA171,Tuberkulom i hjernehinder,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA178,Anden form for tuberkulose i nervesystemet,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA179,Tuberkulose i nervesystemet UNS,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA18,Tuberkulose i andre organer,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA180,Tuberkulose i knogler og led,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA181,Tuberkulose i urinveje og kønsorganer,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA182,Tuberkulose i perifere lymfeknuder,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA183,"Tuberkulose i tarm, bughinde og mesenteriale lymfeknuder",Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA183F,Tuberkulose i retroperitoneale lymfeknuder,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA183G,Tuberkuløs ascites,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA183H,Tuberkulose i mesenteriale lymfeknuder,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA184,Tuberkulose i hud og underhud,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA184A,Lupus,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA184B,Lupus excedens,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA184C,Lupus vulgaris,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA184D,Scrofuloderma,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA184F,Tuberculosis lichenoides,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA184G,Tuberculosis subcutis,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA184H,Tuberculosis verrucosa cutis,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA184I,Erythema induratum Bazin,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA184J,Lichen scrofulosorum,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA185,Tuberkulose i øje,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA186,Tuberkulose i øre,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA187,Tuberkulose i binyre,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA187A,Tuberkuløs Addisons sygdom,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA188,Tuberkulose i andet organ,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA19,Miliær tuberkulose,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA190,Akut miliær tuberkulose med enkelt specificeret lokalisation,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA191,Akut miliær tuberkulose med flere lokalisationer,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA192,Akut miliær tuberkulose UNS,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA198,Anden miliær tuberkulose,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA199,Miliær tuberkulose UNS,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA20,Pest,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA200,Byldepest,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA201,Hudpest,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA202,Lungepest,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA203,Meningitis forårsaget af Yersenia pestis,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA207,Sepsisk pest,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA208,Anden form for pest,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA209,Pest UNS,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA21,Tularæmi,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA210,Ulceroglandulær tularæmi,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA211,Okuloglandulær tularæmi,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA212,Pulmonal tularæmi,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA213,Gastrointestinal tularæmi,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA217,Tyføs tularæmi,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA218,Anden form for tularæmi,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA219,Tularæmi UNS,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA22,Miltbrand,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA220,Kutan miltbrand,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA221,Pulmonal miltbrand,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA222,Gastrointestinal miltbrand,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA227,Miltbrandsepsis,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA228,Anden form for miltbrand,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
