Copyright, Sundhedsdatastyrelsen
SKS-databasen opdateres jævnligt. Dette udtræk modsvarer opdateringen d 01-07-2024.

"Tekst";"Kode"
"Tuberculosis lichenoides";"DA184F"
"Tuberculosis subcutis";"DA184G"
"Tuberculosis verrucosa cutis";"DA184H"
"Erythema induratum Bazin";"DA184I"
"Lichen scrofulosorum";"DA184J"
"Tuberkulose i øje";"DA185"
"Tuberkulose i øre";"DA186"
"Tuberkulose i binyre";"DA187"
"Tuberkuløs Addisons sygdom";"DA187A"
"Tuberkulose i andet organ";"DA188"
"Miliær tuberkulose";"DA19"
"Akut miliær tuberkulose med enkelt specificeret lokalisation";"DA190"
"Akut miliær tuberkulose med flere lokalisationer";"DA191"
"Akut miliær tuberkulose UNS";"DA192"
"Anden miliær tuberkulose";"DA198"
"Miliær tuberkulose UNS";"DA199"
"Visse dyreoverførte bakterielle sygdomme [DA20-DA28]";""
"Pest";"DA20"
"Byldepest";"DA200"
"Hudpest";"DA201"
"Lungepest";"DA202"
"Meningitis forårsaget af Yersenia pestis";"DA203"
"Sepsisk pest";"DA207"
"Anden form for pest";"DA208"
"Pest UNS";"DA209"
"Tularæmi";"DA21"
"Ulceroglandulær tularæmi";"DA210"
"Okuloglandulær tularæmi";"DA211"
"Pulmonal tularæmi";"DA212"
"Gastrointestinal tularæmi";"DA213"
"Tyføs tularæmi";"DA217"
"Anden form for tularæmi";"DA218"
"Tularæmi UNS";"DA219"
"Miltbrand";"DA22"
"Kutan miltbrand";"DA220"
"Pulmonal miltbrand";"DA221"
"Gastrointestinal miltbrand";"DA222"
"Miltbrandsepsis";"DA227"
"Anden form for miltbrand";"DA228"
"Miltbrand UNS";"DA229"
"Svingefeber";"DA23"
"Brucellose forårsaget af Brucella melitensis";"DA230"
"Brucellose forårsaget af Brucella abortus";"DA231"
"Brucellose forårsaget af Brucella suis";"DA232"
"Brucellose forårsaget af Brucella canis";"DA233"
"Anden brucellose";"DA238"
"Brucellose UNS";"DA239"
"Glanders og melioidosis";"DA24"
"Glanders";"DA240"
"Akut eller fulminant melioidose";"DA241"
"Subakut eller kronisk melioidose";"DA242"
"Anden form for melioidose";"DA243"
"Melioidose UNS";"DA244"
"Rottebidfeber sygdomme";"DA25"
"Spirillose";"DA250"
"Sodoku";"DA250A"
"Streptobacillose";"DA251"
"Rottebidfeber UNS";"DA259"
"Svinerosen";"DA26"
"Kutant erysipeloid";"DA260"
"Sepsis forårsaget af Erysipelothrix rhusiopathiae";"DA267"
"Anden form for erysipeloid";"DA268"
"Erysipeloid UNS";"DA269"
"Leptospirose";"DA27"
"Weils sygdom";"DA270"
"Anden leptospirose";"DA278"
"Leptospirose UNS";"DA279"
"Andre dyreoverførte bakterielle infektioner IKA";"DA28"
"Pasteurellose";"DA280"
"Kattekradsningsfeber";"DA281"
"Yersinia infektion udenfor mave-tarm-kanalen";"DA282"
"Yersinia sepsis";"DA282B"
"Anden dyreoverført bakteriel infektion";"DA288"
"Dyreoverført bakteriel infektion UNS";"DA289"
"Andre bakterielle sygdomme [DA30-DA49]";""
"Spedalskhed";"DA30"
"Tidlig spedalskhed";"DA300"
"Tuberkuloid spedalskhed";"DA301"
"Borderline tuberkuloid spedalskhed";"DA302"
"Borderline spedalskhed";"DA303"
"Borderline lepromatøs spedalskhed";"DA304"
"Lepromatøs spedalskhed";"DA305"
"Anden form for spedalskhed";"DA308"
"Spedalskhed UNS";"DA309"
"Sygdomme forårsaget af andre mykobakterier";"DA31"
"Mykobakteriel lungeaffektion";"DA310"
"Lungeinfektion med Mycobacterium avium";"DA310A"
"Lungeinfektion med Mycobacterium intracellularis";"DA310B"
"Lungeinfektion med Mycobacterium kansasii";"DA310C"
"Mykobakteriel hudaffektion";"DA311"
"Hudinfektion med Mycobacterium marinum";"DA311A"
"Hudinfektion med Mycobacterium ulcerans";"DA311B"
"Anden mykobakteriel infektion";"DA318"
"Mykobakteriel infektion UNS";"DA319"
"Listeriose";"DA32"
"Listeriose i huden";"DA320"
"Listeriose i centralnervesystemet";"DA321"
"Listeriasepsis";"DA327"
"Anden form for listeriose";"DA328"
"Okuloglandulær listeriosis";"DA328A"
"Listeriose UNS";"DA329"
"Stivkrampe hos nyfødte";"DA33"
"Stivkrampe hos nyfødt";"DA339"
"Obstetrisk stivkrampe";"DA34"
"Stivkrampe i barselsperiode";"DA349"
"Anden form for stivkrampe";"DA35"
"Stivkrampe IKA";"DA359"
"Difteri";"DA36"
"Svælgdifteri";"DA360"
"Tonsildifteri";"DA360A"
"Difteri i nasopharynx";"DA361"
"Larynxdifteri";"DA362"
"Difterisk laryngotrakeitis";"DA362A"
"Difteri i huden";"DA363"
"Anden form for difteri";"DA368"
"Difteri UNS";"DA369"
"Kighoste";"DA37"
"Kighoste forårsaget af Bordetella pertussis";"DA370"
"Kighoste forårsaget af Bordetella parapertussis";"DA371"
"Kighoste forårsaget af anden Bordetella-type";"DA378"
"Kighoste UNS";"DA379"
"Skarlagensfeber";"DA38"
"Skarlagensfeber UNS";"DA389"
"Infektioner med meningokokker";"DA39"
"Meningitis forårsaget af meningokokker";"DA390"
"Waterhouse-Friderichsens syndrom";"DA391"
"Akut meningokokbakteriæmi";"DA392"
"Meningokoksepsis";"DA392A"
"Kronisk meningokokbakteriæmi";"DA393"
"Meningokokbakteriæmi UNS";"DA394"
"Hjertesygdom forårsaget af meningokokker";"DA395"
"Anden meningokokinfektion";"DA398"
"Meningokokinfektion UNS";"DA399"
"Sepsis forårsaget af streptokokker";"DA40"
"Sepsis forårsaget af Streptococcus A";"DA400"
"Sepsis forårsaget af Streptococcus B";"DA401"
"Sepsis forårsaget af Streptococcus D og Enterococcus";"DA402"
"Sepsis forårsaget af Streptococcus pneumoniae";"DA403"
"Anden streptokoksepsis";"DA408"
"Streptokoksepsis UNS";"DA409"
"Anden sepsis";"DA41"
"Sepsis forårsaget af Staphylococcus aureus";"DA410"
"Sepsis forårsaget af anden stafylokok";"DA411"
"Sepsis forårsaget af koagulase-negative stafylokokker";"DA411A"
"Sepsis forårsaget af stafylokokker UNS";"DA412"
"Sepsis forårsaget af Haemophilus influenzae";"DA413"
"Sepsis forårsaget af anaerob bakterie";"DA414"
"Sepsis forårsaget af anden Gram-negativ organisme";"DA415"
"Sepsis forårsaget af Escherichia coli";"DA415A"
"Anden sepsis IKA";"DA418"
"Sepsis UNS";"DA419"
"Urosepsis";"DA419B"
"Svær sepsis";"DA419C"
"Aktinomykose";"DA42"
"Pulmonal aktinomykose";"DA420"
"Abdominal aktinomykose";"DA421"
"Cervikofacial aktinomykose";"DA422"
"Sepsis forårsaget af aktinomykose";"DA427"
"Anden form for aktinomykose";"DA428"
"Aktinomykose UNS";"DA429"
"Nocardiose";"DA43"
"Pulmonal nocardiose";"DA430"
"Kutan nocardiose";"DA431"
"Anden form for nocardiose";"DA438"
"Nocardiose UNS";"DA439"
"Bartonellose";"DA44"
"Systemisk bartonellose";"DA440"
"Kutan og mukokutan bartonellose";"DA441"
"Anden form for bartonellose";"DA448"
"Bartonellose UNS";"DA449"
"Rosen";"DA46"
"Rosen UNS";"DA469"
"Andre bakterielle sygdomme IKA";"DA48"
"Gasgangræn";"DA480"
"Legionærsygdom";"DA481"
"Pontiacfeber";"DA482"
"Toksisk shock-syndrom";"DA483"
"Brasiliansk purpurafeber";"DA484"
"Systemisk Haemophilus aegypticus-infektion";"DA484A"
"Anden bakteriel sygdom";"DA488"
"Trichomycosis axillaris";"DA488A"
"Bakteriel infektion uden angivelse af lokalisation";"DA49"
"Stafylokokinfektion UNS";"DA490"
"Streptokok- og/eller enterokokinfektion, uspecificeret lokalisation";"DA491"
"Infektion med Haemophilus influenzae UNS";"DA492"
"Mycoplasmainfektion UNS";"DA493"
"Anden bakteriel infektion uden angivelse af lokalisation";"DA498"
"Bakteriel infektion UNS";"DA499"
"Bakteriæmi UNS";"DA499A"
"Infektioner, som overvejende er seksuelt overført [DA50-DA64]";""
"Medfødt syfilis";"DA50"
"Tidlig medfødt symptomgivende syfilis";"DA500"
"Tidlig medfødt latent syfilis";"DA501"
"Tidlig medfødt syfilis UNS";"DA502"
"Sen medfødt syfilitisk øjenlidelse";"DA503"
"Sen medfødt neurosyfilis";"DA504"
"Anden sen medfødt symptomatisk syfilis";"DA505"
"Hutchinsons triade";"DA505A"
"Hutchinsons tænder";"DA505B"
"Syfilitisk saddelnæse";"DA505C"
"Sen medfødt seropositiv syfilis uden kliniske manifestationer";"DA506"
"Sen medfødt syfilis UNS";"DA507"
"Medfødt syfilis UNS";"DA509"
"Frisk syfilis";"DA51"
"Primær genital syfilis";"DA510"
"Primær anal syfilis";"DA511"
"Primær syfilis med anden lokalisation";"DA512"
"Sekundær syfilis i hud eller slimhinder";"DA513"
"Condyloma syphiliticum";"DA513A"
"Syfilitisk mukøst plaque";"DA513F"
"Anden sekundær syfilis";"DA514"
"Syfilitisk lymfeknudesvulst";"DA514A"
"Frisk latent syfilis";"DA515"
"Frisk syfilis UNS";"DA519"
"Syfilis i sent stadium";"DA52"
"Kardiovaskulær syfilis";"DA520"
"Sen symptomatisk neurosyfilis";"DA521"
"Tabes dorsalis";"DA521D"
"Asymptomatisk neurosyfilis";"DA522"
"Neurosyfilis UNS";"DA523"
"Anden form for sen symptomatisk syfilis";"DA527"
"Syfilitisk gumma";"DA527A"
"Anden form for sen eller tertiær syfilis";"DA527C"
"Sen latent syfilis";"DA528"
"Syfilis i sent stadium UNS";"DA529"
"Anden syfilis og syfilis UNS";"DA53"
"Latent syfilis uden specificering af stadie";"DA530"
"Syfilis UNS";"DA539"
"Gonoré";"DA54"
"Gonokokinfektion i nedre urin- og kønsorganer uden absces i periuretrale eller accessoriske glandler";"DA540"
"Gonoroisk cervicitis UNS";"DA540A"
"Gonoroisk cystitis UNS";"DA540B"
"Gonoroisk uretritis UNS";"DA540D"
"Gonoroisk vulvovaginitis UNS";"DA540E"
"Gonoroisk balanopostitis";"DA540F"
"Gonokokinfektion i nedre urin- og kønsorganer med absces i periuretrale eller accessoriske glandler";"DA541"
"Urogenital gonoroisk absces";"DA541A"
"Gonoroisk bartholinitis";"DA541B"
"Gonoroisk pelvioperitonitis eller anden gonoroisk urogenital infektion";"DA542"
"Gonokokinfektion i øje";"DA543"
"Gonoroisk purulent konjunktivitis hos nyfødt";"DA543A"
"Gonokokinfektion i led og muskler";"DA544"
"Gonokokinfektion i svælget";"DA545"
"Gonokokinfektion i anus og rektum";"DA546"
"Anden gonokokinfektion";"DA548"
"Gonoroisk dermatitis";"DA548B"
"Gonoroisk sepsis";"DA548G"
"Gonokokinfektion UNS";"DA549"
"Venerisk lymfogranulom forårsaget af klamydiainfektion";"DA55"
"Lymfogranulom forårsaget af Chlamydia";"DA559"
"Andre seksuelt overførte klamydiainfektioner";"DA56"
"Klamydiainfektion i nedre urin- og kønsorganer";"DA560"
"Klamydiacervicitis";"DA560A"
"Klamydiacystitis";"DA560C"
"Klamydiauretritis";"DA560D"
"Vulvovaginitis forårsaget af klamydia";"DA560E"
"Klamydiainfektion i nedre bækken eller andet urin- og kønsorgan";"DA561"
"Klamydiainfektion i urin- og kønsorganer UNS";"DA562"
"Klamydiainfektion i anus og rektum";"DA563"
"Klamydiainfektion i svælget";"DA564"
"Seksuelt overført klamydiainfektion med anden lokalisation";"DA568"
"Blød chanker";"DA57"
"Ulcus molle UNS";"DA579"
"Granulom forårsaget af infektion med Calymmatobacterium granulomatis";"DA58"
"Granuloma inguinale UNS";"DA589"
"Infektioner med Trichomonas vaginalis";"DA59"
"Trichomoniasis i urin- og kønsorganer";"DA590"
"Vaginalt udflåd forårsaget af trichomonasis";"DA590A"
"Trichomonasvaginitis";"DA590C"
"Trichomoniasis med anden lokalisation";"DA598"
"Trichomoniasis UNS";"DA599"
"Herpes simplex-infektion i anogenitalregionen";"DA60"
"Herpes simplex-infektion i urin- og kønsorganer";"DA600"
"Herpes simplex-infektion i analregion og endetarm";"DA601"
"Herpes simplex-infektion i anus";"DA601A"
"Herpes simplex-infektion i perianalregionen";"DA601B"
"Herpes simplex-infektion i rektum";"DA601C"
"Herpes simplex-infektion i anogenitalregionen UNS";"DA609"
"Andre fortrinsvis seksuelt overførte sygdomme, som ikke er klassificeret andetsteds";"DA63"
"Condyloma acuminatum i anogenitalregionen";"DA630"
"Uretrale kondylomer";"DA630B"
"Genitale kondylomer";"DA630C"
"Anale kondylomer";"DA630D"
"Ekstragenitale kondylomer";"DA630E"
"Anden fortrinsvis seksuelt overført sygdom IKA";"DA638"
"Gardnerella infektion";"DA638A"
"Seksuelt overført sygdom uden nærmere specificering";"DA64"
"Seksuelt overført sygdom UNS";"DA649"
"Andre sygdomme forårsaget af spirokæter [DA65-DA69]";""
"Ikke-venerisk syfilis";"DA65"
"Ikke-venerisk syfilis UNS";"DA659"
"Frambøsia";"DA66"
"Tidlig frambøsia";"DA660"
"Multiple frambøsia papillomer";"DA661"
"Andet tidligt hudsymptom ved frambøsia";"DA662"
"Hyperkeratose ved frambøsia";"DA663"
"Gumma og sår ved frambøsia";"DA664"
"Rhinopharyngitis mutilans ved frambøsia";"DA665"
"Knogle- og ledforandringer ved frambøsia";"DA666"
"Anden manifestation ved frambøsia";"DA667"
"Latent frambøsia";"DA668"
"Frambøsia UNS";"DA669"
"Pinta";"DA67"
"Primær manifestation ved pinta";"DA670"
"Sekundær manifestation ved pinta";"DA671"
"Sen manifestation ved pinta";"DA672"
"Blandede manifestationer ved pinta";"DA673"
"Pinta UNS";"DA679"
"Tilbagefaldsfeber";"DA68"
"Tilbagefaldsfeber overført af lus";"DA680"
"Tilbagefaldsfeber overført af flåt";"DA681"
"Tilbagefaldsfeber UNS";"DA689"
"Andre infektioner forårsaget af spirokæter";"DA69"
"Nekrotiserende ulcerøs mundbetændelse";"DA690"
"Cancrum oris";"DA690A"
"Noma";"DA690B"
"Stomatitis ulcerosa Vincent";"DA690C"
"Anden Vincent-infektion";"DA691"
"Angina ulcerosa Vincent";"DA691A"
"Faryngitis forårsaget af spirokæteinfektion";"DA691B"
"Vincents angina";"DA691C"
"Akut nekrotiserende ulcerøs stomatitis";"DA691E"
"Vincents gingivitis";"DA691F"
"Faryngitis forårsaget af fusospirokæteinfektion";"DA691G"
"Lymes sygdom";"DA692"
"Kronisk atrofisk akrodermatit";"DA692A"
"Borrelia polyradikulitis";"DA692D"
"Erythema chronicum migrans";"DA692F"
"Anden spirokæteinfektion";"DA698"
"Spirokæteinfektion UNS";"DA699"
"Andre sygdomme forårsaget af Klamydia-bakterier [DA70-DA74]";""
"Infektioner forårsaget af Chlamydophila psittaci";"DA70"
"Chlamydophila psittaci-infektion";"DA709"
"Ægyptisk øjensygdom";"DA71"
"Tidligt stadie af trakom";"DA710"
"Aktivt stadie af trakom";"DA711"
"Trakom UNS";"DA719"
"Andre sygdomme forårsaget af klamydia-bakterier";"DA74"
"Klamydiakonjunktivitis";"DA740"
"Anden klamydia-infektion";"DA748"
"Klamydia-infektion UNS";"DA749"
"Rickettsia-infektioner [DA75-DA79]";""
"Rickettsioser overført af lus, lopper og mider";"DA75"
"Plettyfus forårsaget af Rickettsia prowazekii";"DA750"
"Brill-Zinssers sygdom";"DA751"
"Plettyfus forårsaget af Rickettsia typhi";"DA752"
"Plettyfus forårsaget af Rickettsia tsutsugamushi";"DA753"
"Plettyfus UNS";"DA759"
"Rickettsioser overført af flåt";"DA77"
"Rickettsiose forårsaget af Rickettsia rickettsii";"DA770"
"Rickettsiose forårsaget af Rickettsia conorii";"DA771"
"Rickettsiose forårsaget af Rickettsia sibirica";"DA772"
"Rickettsiose forårsaget af Rickettsia australis";"DA773"
"Anden rickettsiose overført af flåt";"DA778"
"Rickettsiose overført af flåt UNS";"DA779"
"Q-feber";"DA78"
"Q-feber UNS";"DA789"
"Andre rickettsioser";"DA79"
"Skyttegravsfeber";"DA790"
"Rickettsiose forårsaget af Rickettsia akari";"DA791"
"Anden rickettsiose";"DA798"
"Rickettsiose forårsaget af Neorickettsia sennetsu [Ehrlichia sennetsu]";"DA798A"
"Rickettsiose forårsaget af Ehrlichia phagocytophila";"DA798B"
"Rickettsiose UNS";"DA799"
"Virale infektioner i centralnervesystemet [DA80-DA89]";""
"Akut polio";"DA80"
"Akut polio med lammelser forårsaget af vaccine";"DA800"
"Akut polio med lammelser forårsaget af importeret vild virus";"DA801"
"Akut polio med lammelser forårsaget af indenlandsk vild virus";"DA802"
"Anden eller ikke specificeret akut polio med lammelser";"DA803"
"Akut polio uden lammelser";"DA804"
"Akut polio UNS";"DA809"
"Atypiske virusinfektioner i centralnervesystemet";"DA81"
"Creutzfeldt-Jakobs sygdom";"DA810"
"Subakut skleroserende panencephalitis";"DA811"
"Progressiv multifokal leukoencefalopati";"DA812"
"Anden atypisk virusinfektion i centralnervesystemet";"DA818"
"Kuru";"DA818A"
"Fatal familiær insomni";"DA818B"
"Atypisk virusinfektion i centralnervesystemet UNS";"DA819"
"Prionsygdom i centralnervesystemet UNS";"DA819A"
"Hundegalskab";"DA82"
"Sylvatisk rabies (lyssavirus type 1)";"DA820"
"Flagermusrabies (European Bat Lyssavirus - EBL)";"DA821"
"Rabies UNS";"DA829"
"Viral hjernebetændelse overført af myg";"DA83"
"Japansk hjernebetændelse";"DA830"
"Encephalomyelitis equina occidentalis";"DA831"
"Encephalomyelitis equina orientalis";"DA832"
"St Louis-encephalitis";"DA833"
"Australsk encephalitis";"DA834"
"Californisk encephalitis";"DA835"
"Rocio virus-encephalitis";"DA836"
"Anden viral hjernebetændelse overført af myg";"DA838"
"Viral hjernebetændelse overført af myg UNS";"DA839"
"Viral hjernebetændelse overført af flåt";"DA84"
"Encephalitis viralis occidentalis";"DA840"
"Centraleuropæisk viral encephalitis overført af flåt";"DA841"
"Anden viral hjernebetændelse overført af flåt";"DA848"
"Viral hjernebetændelse overført af flåt UNS";"DA849"
"Viral hjernebetændelse IKA";"DA85"
"Hjernebetændelse forårsaget af enterovirus";"DA850"
"Hjernebetændelse forårsaget af adenovirus";"DA851"
"Viral hjernebetændelse overført af leddyr UNS";"DA852"
"Anden viral hjernebetændelse";"DA858"
"Encephalitis lethargica";"DA858A"
"Viral hjernebetændelse UNS";"DA86"
"Viral encephalitis UNS";"DA869"
"Viral hjernehindebetændelse IKA";"DA87"
"Meningitis forårsaget af enterovirus";"DA870"
"Meningitis forårsaget af coxsackievirus";"DA870A"
"Meningitis forårsaget af echovirus";"DA870B"
"Meningitis forårsaget af adenovirus";"DA871"
"Lymfocytær koriomeningitis";"DA872"
"Lymfocytær meningoencephalitis";"DA872A"
"Anden viral hjernehindebetændelse";"DA878"
"Viral hjernehindebetændelse UNS";"DA879"
"Andre virale infektioner i centralnervesystemet IKA";"DA88"
"Febris enteroviralis exanthematica";"DA880"
"Vertigo epidemica";"DA881"
"Anden viral infektion i centralnervesystemet IKA";"DA888"
"Virale infektioner i centralnervesystemet UNS";"DA89"
"Viral infektion i centralnervesystemet UNS";"DA899"
"Virale febersygdomme overført af leddyr og virale hæmoragiske febersygdomme [DA92-DA99]";""
"Andre virale febersygdomme overført af myg";"DA92"
"Chikungunya virussygdom";"DA920"
"O'nyong-nyong-feber";"DA921"
"Venezuelansk ekvin encephalitis";"DA922"
"West Nile feber";"DA923"
"Rift Valley-feber";"DA924"
"Zika virussygdom";"DA925"
"Anden viral febersygdom overført af myg";"DA928"
"Viral febersygdom overført af myg UNS";"DA929"
"Andre virale febersygdomme overført af leddyr IKA";"DA93"
"Oropouche virussygdom";"DA930"
"Sandfluefeber";"DA931"
"Colorado flåtfeber";"DA932"
"Anden viral febersygdom overført af leddyr";"DA938"
"Viral febersygdom overført af leddyr UNS";"DA94"
"Viral febersygdom overført af leddyr UNS";"DA949"
"Gul feber";"DA95"
"Sylvatisk gul feber";"DA950"
"Urban gul feber";"DA951"
"Gul feber UNS";"DA959"
"Arenavirale febersygdomme med blødninger";"DA96"
"Junin hæmoragisk feber";"DA960"
"Machupo hæmoragisk feber";"DA961"
"Lassafeber";"DA962"
"Anden arenaviral febersygdom med blødninger";"DA968"
"Arenaviral feber med blødninger UNS";"DA969"
"Dengue";"DA97"
"Dengue uden advarselstegn";"DA970"
"Dengue med advarselstegn";"DA971"
"Alvorlig Dengue";"DA972"
"Dengue UNS";"DA979"
"Andre virale febersygdomme med blødninger";"DA98"
"Krim-Congo hæmoragisk feber";"DA980"
"Omsk hæmoragisk feber";"DA981"
"Kyasanurfeber";"DA982"
"Marburgfeber";"DA983"
"Ebolavirus-sygdom";"DA984"
